id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Bars,Apex Beats,hip-hop,aggressive,0.88,95,0.42,0.85,0.15
12,Lost Highway,Dust & Echoes,country,melancholic,0.55,100,0.45,0.64,0.82
13,Thunder Requiem,Iron Shadow,metal,angry,0.96,160,0.25,0.38,0.08
14,Moonlit Sonata,Grace & String,classical,peaceful,0.25,65,0.78,0.20,0.95
15,Neon Rush,Synth Pulse,electronic,euphoric,0.94,128,0.82,0.93,0.02
16,Whiskey Soul,Blue Notes,blues,melancholic,0.58,92,0.40,0.48,0.88
17,Island Breeze,Reggae Vibes,reggae,laid-back,0.68,110,0.75,0.80,0.77
18,Autumn Leaves,Folk Revival,folk,introspective,0.45,85,0.62,0.53,0.91
